Country,Gold,Silver,Bronze
Norway,18,11,11
USA,11,12,7
Italy,10,6,13
Netherlands,8,7,3
France,7,8,6
Germany,6,8,8
Switzerland,6,8,6
Sweden,6,6,4
Austria,5,8,5
Japan,5,7,12
Canada,4,5,8
China,4,3,6
South Korea,3,4,3
Australia,3,2,1
Great Britain,3,0,0
Czech Republic,2,2,0
Slovenia,2,1,1
Spain,1,0,2
Brazil,1,0,0
Kazakhstan,1,0,0
Poland,0,3,1
New Zealand,0,2,1
Finland,0,1,4
Latvia,0,1,1
Estonia,0,1,0
Georgia,0,1,0
Individual Neutral AthletesAhttps://en.wikipedia.org/wiki/2026_Winter_Olympics_medal_table#cite_note-ANI_medal_table_inclusion-18Bhttps://en.wikipedia.org/wiki/2026_Winter_Olympics_medal_table#cite_note-Who_is_INA-20,0,1,0
Bulgaria,0,0,2
Belgium,0,0,1
